step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,3,-1,in,2.0,0,-1,-120.0,True,0.6876,0.3984,0.0
3,17,1,out,2.0,0,1,120.0,True,5.7932,0.3984,0.0
4,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
5,21,1,out,2.0,0,1,120.0,True,1.5789,0.3984,0.0
6,11,1,in,2.0,0,1,120.0,True,7.3547,0.3984,0.0
7,4,1,in,2.0,0,1,120.0,True,0.5435,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,1.1086,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,1.6592,0.3984,0.0
10,7,1,in,2.0,0,1,120.0,True,2.7552,0.3984,0.0
11,18,1,out,2.0,-1,0,0.0,True,1.6592,5.6279,0.0
