step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,6,-1,in,2.0,0,-1,-120.0,True,2.5826,0.3984,0.0
3,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
4,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
5,23,-1,out,2.0,1,0,0.0,True,0.6517,0.3984,0.0
6,21,-1,out,2.0,0,-1,-120.0,True,1.315,0.3984,0.0
7,22,1,out,2.0,0,1,120.0,True,0.7586,0.3984,0.0
8,14,-1,out,2.0,0,-1,-120.0,True,8.4619,0.3984,0.0
9,21,1,out,2.0,-1,0,0.0,True,1.6651,0.3984,0.0
10,21,1,out,2.0,0,1,120.0,True,1.5615,0.3984,0.0
11,19,1,out,2.0,0,1,120.0,True,0.8923,0.3984,0.0
12,15,1,out,2.0,0,1,120.0,True,5.5301,0.5856,0.0
