step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,5,-1,in,2.0,0,-1,-120.0,True,1.6987,0.3984,0.0
2,18,-1,out,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
3,24,1,out,2.0,0,1,120.0,True,0.3656,0.3984,0.0
4,19,-1,out,2.0,0,-1,-120.0,True,2.9335,0.3984,0.0
5,20,-1,out,2.0,0,-1,-120.0,True,2.4891,0.3984,0.0
6,11,1,in,2.0,0,1,120.0,True,8.0056,0.3984,0.0
7,6,-1,in,2.0,0,-1,-120.0,True,1.6764,0.3984,0.0
8,13,-1,in,2.0,0,-1,-120.0,True,7.8818,0.3984,0.0
9,12,1,in,2.0,0,1,120.0,True,7.9627,0.3984,0.0
10,7,1,in,2.0,0,1,120.0,True,2.5156,0.3984,0.0
