step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,5,-1,in,2.0,0,-1,-120.0,True,1.6651,0.3984,0.0
6,21,-1,out,2.0,0,-1,-120.0,True,1.2575,0.3984,0.0
7,22,-1,out,2.0,0,-1,-120.0,True,0.8738,0.3984,0.0
8,14,-1,out,2.0,0,-1,-120.0,True,8.7966,0.3984,0.0
9,10,-1,in,2.0,0,-1,-120.0,True,3.6529,0.3984,4.4217
10,9,1,in,2.0,0,1,120.0,True,2.5651,0.3984,0.0
11,17,1,out,2.0,0,1,120.0,True,4.3276,0.3984,0.0
12,17,-1,in,2.0,1,0,0.0,True,8.3067,0.3984,3.5843
13,10,1,in,2.0,-1,0,0.0,True,4.6425,0.3984,0.0
14,19,1,out,2.0,0,1,120.0,True,2.4662,0.3984,0.0
15,15,1,out,2.0,0,1,120.0,True,3.6502,0.3984,3.5329
16,19,-1,out,2.0,1,0,0.0,True,2.5934,0.3984,0.0
