step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,7,-1,in,2.0,0,-1,-120.0,True,2.988,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1179,0.3984,0.0
5,6,1,in,2.0,0,1,120.0,True,2.0087,0.3984,0.0
6,4,1,in,2.0,0,1,120.0,True,0.5957,0.3984,0.0
7,11,1,in,2.0,0,1,120.0,True,6.7804,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,0.759,0.3984,0.0
9,20,1,out,2.0,0,1,120.0,True,2.4137,0.3984,0.0
10,23,-1,out,2.0,0,-1,-120.0,True,0.6594,0.3984,0.0
11,21,1,out,2.0,0,1,120.0,True,1.6685,0.3984,0.0
12,20,-1,out,2.0,1,0,0.0,True,1.1069,0.3984,6.3294
13,9,1,in,2.0,0,1,120.0,True,3.621,0.3984,0.0
14,15,1,out,2.0,0,1,120.0,True,6.302,0.3984,0.0
15,9,-1,out,2.0,1,0,0.0,True,8.4684,0.3984,20.7032
16,15,-1,out,2.0,1,0,0.0,True,6.4889,0.3984,0.0
17,15,-1,out,2.0,0,-1,-120.0,True,6.2708,0.3984,0.0
18,10,1,in,2.0,0,1,120.0,True,4.9271,0.3984,0.0
