step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
2,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
3,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
4,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
5,7,-1,in,2.0,0,-1,-120.0,True,2.9005,0.3984,0.0
6,6,1,in,2.0,0,1,120.0,True,2.0087,0.3984,0.0
7,11,1,in,2.0,0,1,120.0,True,6.6315,0.3984,0.0
8,13,-1,in,2.0,0,-1,-120.0,True,7.574,0.3984,0.0
9,12,1,in,2.0,0,1,120.0,True,7.6047,0.3984,0.0
10,10,1,in,2.0,0,1,120.0,True,5.1882,0.3984,0.0
11,20,1,out,2.0,0,1,120.0,True,2.3827,0.3984,0.0
12,21,1,out,2.0,0,1,120.0,True,1.315,0.3984,0.0
13,20,-1,out,2.0,1,0,0.0,True,2.3594,0.3984,0.0
14,10,-1,in,2.0,1,0,0.0,True,5.1882,0.3984,0.0
15,15,1,in,2.0,0,1,120.0,True,6.861,0.3984,0.0
16,10,1,out,2.0,0,1,120.0,True,9.7354,0.3984,34.9545
17,16,-1,out,2.0,0,-1,-120.0,True,6.6146,0.3984,0.0
18,15,-1,out,2.0,1,0,0.0,True,3.9477,0.3984,0.0
19,2,-1,in,2.0,1,0,0.0,True,0.3223,0.3984,0.0
20,3,1,in,2.0,-1,0,0.0,True,0.6542,0.3984,0.0
21,3,-1,out,2.0,0,-1,-120.0,True,2.6928,0.3984,22.3267
22,20,-1,out,2.0,0,-1,-120.0,True,2.3594,0.3984,0.0
23,19,-1,out,2.0,0,-1,-120.0,True,1.5727,0.3984,0.0
24,15,-1,in,2.0,0,-1,-120.0,True,4.7745,0.3984,0.0
25,2,1,in,2.0,0,1,120.0,True,0.3186,0.3984,0.0
26,7,1,out,2.0,-1,0,0.0,True,6.5639,0.3984,22.3267
27,7,-1,in,2.0,0,-1,-120.0,True,1.8786,0.3984,0.0
28,14,1,out,2.0,0,1,120.0,True,6.5274,0.3984,0.0
29,19,1,out,2.0,-1,0,0.0,True,1.5727,0.3984,0.0
30,14,-1,in,2.0,1,0,0.0,True,3.7596,0.3984,0.0
