step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
2,21,-1,out,2.0,0,-1,-120.0,True,1.8709,0.3984,0.0
3,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,17,1,out,2.0,0,1,120.0,True,3.2596,0.3984,0.0
6,14,-1,out,2.0,0,-1,-120.0,True,5.5234,0.3984,0.0
7,20,1,out,2.0,0,1,120.0,True,2.129,1.5843,0.0
8,16,-1,out,2.0,0,-1,-120.0,True,1.663,0.3984,0.0
9,14,1,out,2.0,-1,0,0.0,True,5.493,0.3984,0.0
10,11,1,in,2.0,0,1,120.0,True,5.5721,0.3984,0.0
11,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
12,12,-1,in,2.0,0,-1,-120.0,True,1.45,0.3984,0.0
13,11,-1,out,2.0,1,0,0.0,True,7.9605,0.3984,8.0773
14,15,-1,out,2.0,0,-1,-120.0,True,2.3263,0.3984,0.0
15,12,1,out,2.0,-1,0,0.0,True,5.7213,0.3984,3.4536
