step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,8,-1,in,2.0,0,-1,-120.0,True,3.9359,0.3984,0.0
6,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
7,14,-1,out,2.0,0,-1,-120.0,True,9.9834,0.3984,0.0
8,22,1,out,2.0,0,1,120.0,True,1.0357,0.3984,0.0
9,9,-1,in,2.0,0,-1,-120.0,True,5.0597,0.3984,0.0
10,16,-1,out,2.0,0,-1,-120.0,True,5.1603,0.3984,0.0
11,18,-1,out,2.0,0,-1,-120.0,True,2.738,0.3984,0.0
12,9,1,in,2.0,-1,0,0.0,True,5.0597,0.3984,0.0
13,14,1,out,2.0,-1,0,0.0,True,7.188,0.3984,0.0
14,9,-1,in,2.0,0,-1,-120.0,True,5.0597,0.3984,0.0
15,18,1,out,2.0,-1,0,0.0,True,2.6817,0.3984,0.0
