step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1001,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,2,1,in,2.0,0,1,120.0,True,0.3248,0.3984,0.0
6,16,1,out,2.0,0,1,120.0,True,5.9371,0.3984,0.0
7,17,-1,out,2.0,0,-1,-120.0,True,4.6241,0.3984,0.0
8,12,-1,in,2.0,0,-1,-120.0,True,6.5712,0.3984,0.0
9,8,-1,in,2.0,0,-1,-120.0,True,1.5453,0.3984,0.0
10,11,-1,in,2.0,0,-1,-120.0,True,4.2776,1.5843,0.0
11,24,1,out,2.0,-1,0,0.0,True,0.3248,0.3984,0.0
12,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
13,24,-1,out,2.0,0,-1,-120.0,True,0.3223,0.3984,0.0
14,11,1,in,2.0,-1,0,0.0,True,4.2776,1.5843,0.0
15,15,1,out,2.0,0,1,120.0,True,6.3847,0.3984,0.0
16,20,-1,out,2.0,0,-1,-120.0,True,1.645,0.3984,0.0
17,11,-1,out,2.0,0,-1,-120.0,True,5.7047,0.3984,34.9545
18,10,-1,in,2.0,0,-1,-120.0,True,2.7963,0.3984,0.0
19,15,-1,out,2.0,1,0,0.0,True,3.6544,0.3984,0.0
20,10,1,in,2.0,-1,0,0.0,True,2.7963,4.3294,0.0
