step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,19,-1,out,2.0,0,-1,-120.0,True,3.2658,0.3984,0.0
2,11,1,in,2.0,0,1,120.0,True,8.6479,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,7,1,in,2.0,0,1,120.0,True,3.5483,0.3984,0.0
5,9,1,in,2.0,0,1,120.0,True,3.2076,0.3984,0.0
6,15,1,out,2.0,0,1,120.0,True,7.8599,0.3984,0.0
7,9,-1,out,2.0,1,0,0.0,True,6.1783,0.3984,6.1013
8,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
9,15,-1,out,2.0,1,0,0.0,True,7.8599,0.3984,0.0
10,6,1,in,2.0,-1,0,0.0,True,2.6402,0.3984,0.0
11,14,1,out,2.0,0,1,120.0,True,5.1784,0.3984,0.0
12,15,-1,in,2.0,0,-1,-120.0,True,5.0814,0.3984,15.7977
13,14,-1,in,2.0,1,0,0.0,True,5.7784,2.4217,2.7901
