step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,13,-1,out,2.0,0,-1,-120.0,True,11.4629,0.3984,0.0
4,2,-1,in,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
5,25,-1,out,2.0,0,-1,-120.0,True,0.1068,0.3984,0.0
6,12,-1,in,2.0,0,-1,-120.0,True,9.5831,0.3984,0.0
7,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
8,5,1,in,2.0,0,1,120.0,True,1.2575,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,1.9678,0.3984,0.0
10,12,1,in,2.0,-1,0,0.0,True,5.2727,0.3984,0.0
11,14,-1,in,2.0,0,-1,-120.0,True,9.5548,0.3984,0.0
12,10,1,in,2.0,0,1,120.0,True,2.5589,0.3984,0.0
13,9,1,in,2.0,0,1,120.0,True,1.4372,0.3984,0.0
14,14,1,in,2.0,-1,0,0.0,True,6.2189,0.3984,0.0
15,17,-1,out,2.0,0,-1,-120.0,True,5.0708,0.3984,0.0
16,22,-1,out,2.0,0,-1,-120.0,True,0.8738,0.3984,0.0
17,20,-1,out,2.0,0,-1,-120.0,True,1.5742,0.3984,0.0
18,17,1,out,2.0,-1,0,0.0,True,3.0166,0.3984,0.0
