step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,8,-1,in,2.0,0,-1,-120.0,True,4.5981,0.3984,0.0
4,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
5,3,1,in,2.0,0,1,120.0,True,0.7366,0.3984,0.0
6,5,1,in,2.0,0,1,120.0,True,0.9843,0.3984,0.0
7,6,1,in,2.0,0,1,120.0,True,2.2001,0.3984,0.0
8,12,-1,in,2.0,0,-1,-120.0,True,6.5825,0.3984,0.0
9,11,-1,in,2.0,0,-1,-120.0,True,5.0174,0.3984,0.0
10,20,1,out,2.0,0,1,120.0,True,2.1368,0.3984,0.0
11,21,1,out,2.0,0,1,120.0,True,1.2366,0.3984,0.0
12,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
13,10,-1,in,2.0,0,-1,-120.0,True,3.6156,0.3984,0.0
14,15,1,in,2.0,0,1,120.0,True,4.2235,0.3984,0.0
15,13,1,out,2.0,0,1,120.0,True,8.1957,0.3984,4.9794
16,20,-1,out,2.0,0,-1,-120.0,True,1.9678,0.3984,0.0
17,15,-1,out,2.0,1,0,0.0,True,3.7689,0.3984,6.1013
18,16,-1,out,2.0,0,-1,-120.0,True,3.5232,0.3984,0.0
19,11,1,out,2.0,-1,0,0.0,True,4.9609,0.3984,0.0
20,15,-1,out,2.0,0,-1,-120.0,True,2.7024,0.3984,0.0
21,10,1,out,2.0,-1,0,0.0,True,9.1842,0.3984,0.0
22,14,1,out,2.0,0,1,120.0,True,4.598,0.3984,0.0
23,11,-1,out,2.0,0,-1,-120.0,True,8.5692,0.3984,0.0
