step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,8,-1,in,2.0,0,-1,-120.0,True,4.5407,0.3984,0.0
4,5,1,in,2.0,0,1,120.0,True,1.8004,0.3984,0.0
5,16,1,out,2.0,0,1,120.0,True,5.8354,0.3984,0.0
6,24,-1,out,2.0,0,-1,-120.0,True,0.3515,0.3984,0.0
7,17,-1,out,2.0,0,-1,-120.0,True,4.3276,0.3984,0.0
8,12,-1,in,2.0,0,-1,-120.0,True,6.5098,0.3984,0.0
9,6,1,in,2.0,0,1,120.0,True,2.129,0.3984,0.0
10,15,1,in,2.0,0,1,120.0,True,5.5229,0.3984,0.0
11,13,1,in,2.0,0,1,120.0,True,5.318,0.3984,0.0
12,11,-1,in,2.0,0,-1,-120.0,True,4.3284,0.3984,0.0
13,18,-1,out,2.0,0,-1,-120.0,True,3.6201,0.3984,0.0
