step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,7,-1,in,2.0,0,-1,-120.0,True,1.8786,0.3984,0.0
6,16,1,out,2.0,0,1,120.0,True,5.8354,0.3984,0.0
7,24,-1,out,2.0,0,-1,-120.0,True,0.3515,0.3984,0.0
8,17,-1,out,2.0,0,-1,-120.0,True,4.3276,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,3.6201,0.3984,0.0
10,12,-1,in,2.0,0,-1,-120.0,True,4.7714,0.3984,0.0
11,5,-1,in,2.0,0,-1,-120.0,True,1.4347,2.9794,0.0
12,9,1,in,2.0,0,1,120.0,True,2.9136,0.3984,0.0
13,15,1,in,2.0,0,1,120.0,True,1.9119,0.3984,0.0
14,8,1,in,2.0,0,1,120.0,True,1.3149,0.3984,0.0
15,18,1,out,2.0,-1,0,0.0,True,3.6201,0.3984,0.0
16,13,1,in,2.0,0,1,120.0,True,6.671,0.3984,0.0
17,11,-1,in,2.0,0,-1,-120.0,True,5.0417,0.3984,0.0
18,18,-1,out,2.0,0,-1,-120.0,True,3.6201,0.3984,0.0
