step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
2,19,-1,out,2.0,0,-1,-120.0,True,3.2038,0.3984,0.0
3,11,1,in,2.0,0,1,120.0,True,8.6479,0.3984,0.0
4,22,1,out,2.0,0,1,120.0,True,1.1012,0.3984,0.0
5,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
6,10,-1,in,2.0,0,-1,-120.0,True,6.5479,0.3984,0.0
7,17,1,out,2.0,0,1,120.0,True,3.7176,0.3984,0.0
8,10,1,out,2.0,-1,0,0.0,True,7.7256,0.3984,8.0773
9,17,-1,out,2.0,1,0,0.0,True,3.5132,0.3984,0.0
10,15,-1,out,2.0,0,-1,-120.0,True,6.1088,0.3984,0.0
11,10,1,in,2.0,0,1,120.0,True,6.5479,0.3984,0.0
