step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
3,3,-1,in,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
5,6,-1,in,2.0,0,-1,-120.0,True,1.6543,0.3984,0.0
6,4,1,in,2.0,0,1,120.0,True,0.6549,0.3984,0.0
7,5,1,in,2.0,0,1,120.0,True,1.212,0.3984,0.0
8,12,-1,in,2.0,0,-1,-120.0,True,8.0612,0.3984,0.0
9,6,1,in,2.0,-1,0,0.0,True,2.3594,0.3984,0.0
10,8,1,in,2.0,0,1,120.0,True,3.929,0.3984,0.0
11,6,1,in,2.0,0,1,120.0,True,2.0021,0.3984,29.2649
12,12,1,in,2.0,-1,0,0.0,True,4.4744,0.3984,0.0
13,6,-1,in,2.0,1,0,0.0,True,2.3594,0.3984,0.0
14,17,1,out,2.0,0,1,120.0,True,4.4639,0.3984,0.0
15,19,1,out,2.0,0,1,120.0,True,2.9516,0.3984,0.0
16,14,-1,out,2.0,0,-1,-120.0,True,2.1985,0.3984,17.6295
17,17,-1,out,2.0,1,0,0.0,True,3.7255,0.3984,0.0
18,18,-1,out,2.0,0,-1,-120.0,True,2.6998,0.3984,0.0
19,16,-1,out,2.0,0,-1,-120.0,True,1.9461,0.3984,0.0
20,1,-1,in,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
21,14,1,out,2.0,-1,0,0.0,True,5.2181,0.3984,0.0
22,18,1,out,2.0,-1,0,0.0,True,2.8465,0.3984,0.0
23,1,1,in,2.0,-1,0,0.0,True,0.1211,0.3984,0.0
