step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
2,6,-1,in,2.0,0,-1,-120.0,True,2.6402,0.3984,0.0
3,4,1,in,2.0,0,1,120.0,True,1.2374,0.3984,0.0
4,8,-1,in,2.0,0,-1,-120.0,True,2.7956,0.3984,0.0
5,7,1,in,2.0,0,1,120.0,True,1.8864,0.3984,0.0
6,16,1,out,2.0,0,1,120.0,True,5.8354,0.3984,0.0
7,22,1,out,2.0,0,1,120.0,True,1.0357,0.3984,0.0
8,17,-1,out,2.0,0,-1,-120.0,True,3.8718,0.3984,0.0
9,18,-1,out,2.0,0,-1,-120.0,True,2.738,0.3984,0.0
10,19,-1,out,2.0,0,-1,-120.0,True,1.3259,0.3984,0.0
11,12,-1,in,2.0,0,-1,-120.0,True,6.8586,0.3984,0.0
12,11,-1,in,2.0,0,-1,-120.0,True,5.3678,1.5843,0.0
