step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1001,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,14,-1,out,2.0,0,-1,-120.0,True,7.8448,0.3984,0.0
6,17,-1,out,2.0,0,-1,-120.0,True,4.6241,0.3984,0.0
7,15,-1,out,2.0,0,-1,-120.0,True,2.7949,0.3984,0.0
8,24,1,out,2.0,-1,0,0.0,True,0.3515,0.3984,0.0
9,25,-1,out,2.0,0,-1,-120.0,True,0.1068,0.3984,0.0
10,24,-1,out,2.0,0,-1,-120.0,True,0.3069,0.3984,0.0
11,20,-1,out,2.0,0,-1,-120.0,True,1.5742,0.3984,0.0
12,10,-1,in,2.0,0,-1,-120.0,True,3.4304,0.3984,34.7506
13,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
14,19,-1,in,2.0,0,-1,-120.0,True,9.9875,0.3984,33.1731
15,10,1,out,2.0,-1,0,0.0,True,9.6024,0.3984,31.6493
16,19,1,out,2.0,-1,0,0.0,True,0.999,0.3984,22.9379
17,10,1,in,2.0,0,1,120.0,True,3.9281,0.3984,0.0
