step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
2,22,-1,out,2.0,0,-1,-120.0,True,1.1001,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,5,-1,in,2.0,0,-1,-120.0,True,1.6834,0.3984,0.0
5,15,1,out,2.0,0,1,120.0,True,7.1378,0.3984,0.0
6,24,1,out,2.0,-1,0,0.0,True,0.3656,0.3984,0.0
7,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
8,24,-1,out,2.0,0,-1,-120.0,True,0.3186,0.3984,0.0
9,20,-1,out,2.0,0,-1,-120.0,True,1.645,0.3984,0.0
10,10,-1,in,2.0,0,-1,-120.0,True,3.4304,0.3984,34.7506
11,9,1,in,2.0,0,1,120.0,True,2.2677,0.3984,0.0
12,11,1,in,2.0,0,1,120.0,True,0.8453,0.3984,24.0039
13,10,1,in,2.0,-1,0,0.0,True,3.9281,0.3984,0.0
14,12,-1,in,2.0,0,-1,-120.0,True,1.45,0.3984,0.0
15,11,-1,out,2.0,1,0,0.0,True,6.8067,0.3984,29.2649
16,17,-1,in,2.0,0,-1,-120.0,True,10.1359,0.3984,26.9671
17,3,1,in,2.0,0,1,120.0,True,0.6985,0.3984,0.0
18,10,1,out,2.0,0,1,120.0,True,6.5597,0.3984,12.7872
19,12,1,in,2.0,-1,0,0.0,True,2.7616,0.3984,6.3294
20,3,-1,in,2.0,1,0,0.0,True,0.6594,0.3984,0.0
