step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,23,1,out,2.0,0,1,120.0,True,0.6594,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,8,-1,in,2.0,0,-1,-120.0,True,2.8013,0.3984,0.0
6,18,-1,out,2.0,0,-1,-120.0,True,4.3122,0.3984,0.0
7,25,-1,out,2.0,0,-1,-120.0,True,0.1068,0.3984,0.0
8,20,-1,out,2.0,0,-1,-120.0,True,1.5597,0.3984,0.0
9,22,1,out,2.0,0,1,120.0,True,0.9949,0.3984,0.0
10,14,-1,out,2.0,0,-1,-120.0,True,4.9518,0.3984,0.0
11,16,-1,out,2.0,0,-1,-120.0,True,0.9873,0.3984,0.0
12,14,1,out,2.0,-1,0,0.0,True,5.9043,0.3984,0.0
13,18,1,out,2.0,-1,0,0.0,True,2.2209,0.3984,0.0
14,22,-1,out,2.0,1,0,0.0,True,0.9862,0.3984,0.0
15,22,1,in,2.0,0,1,120.0,True,4.1871,0.3984,27.6833
16,9,-1,in,2.0,0,-1,-120.0,True,3.0819,0.3984,35.7313
17,6,1,in,2.0,0,1,120.0,True,1.1708,0.3984,0.0
18,13,1,in,2.0,0,1,120.0,True,2.0122,0.3984,15.7977
19,2,-1,in,2.0,0,-1,-120.0,True,0.3186,0.3984,0.0
20,6,-1,in,2.0,1,0,0.0,True,0.972,4.3294,0.0
21,2,1,in,2.0,-1,0,0.0,True,0.2991,0.3984,0.0
