step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
3,19,-1,out,2.0,0,-1,-120.0,True,3.2503,0.3984,0.0
4,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,27.3333
5,2,-1,in,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
6,7,-1,in,2.0,0,-1,-120.0,True,2.9005,0.3984,0.0
7,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
8,4,1,in,2.0,0,1,120.0,True,0.6378,0.3984,0.0
9,5,1,in,2.0,0,1,120.0,True,0.8729,0.3984,0.0
10,12,-1,in,2.0,0,-1,-120.0,True,6.0828,0.3984,0.0
11,9,1,in,2.0,0,1,120.0,True,3.8213,0.3984,0.0
12,14,-1,out,2.0,0,-1,-120.0,True,5.0748,0.3984,27.6833
13,23,-1,out,2.0,0,-1,-120.0,True,0.6779,0.3984,0.0
14,21,1,out,2.0,0,1,120.0,True,1.5486,0.3984,0.0
15,18,-1,out,2.0,0,-1,-120.0,True,1.8818,0.3984,0.0
16,15,-1,out,2.0,0,-1,-120.0,True,5.1238,0.3984,0.0
17,16,-1,out,2.0,0,-1,-120.0,True,2.367,0.3984,0.0
18,18,1,out,2.0,-1,0,0.0,True,1.8818,4.3294,0.0
19,1,-1,in,2.0,1,0,0.0,True,0.1004,0.3984,0.0
20,25,-1,in,2.0,1,0,0.0,True,6.4189,0.3984,14.0069
21,13,1,in,2.0,0,1,120.0,True,4.9711,0.3984,0.0
22,1,1,in,2.0,0,1,120.0,True,0.1004,0.3984,0.0
23,25,1,out,2.0,0,1,120.0,True,0.1179,0.3984,10.3102
24,6,-1,in,2.0,0,-1,-120.0,True,1.9277,0.3984,0.0
25,11,-1,in,2.0,0,-1,-120.0,True,4.7825,0.3984,0.0
26,21,-1,out,2.0,1,0,0.0,True,1.4638,0.3984,0.0
27,6,1,in,2.0,-1,0,0.0,True,1.8909,0.3984,0.0
28,21,1,out,2.0,0,1,120.0,True,1.4638,0.3984,0.0
