step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,5,-1,in,2.0,0,-1,-120.0,True,1.6987,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
3,11,1,in,2.0,0,1,120.0,True,8.0056,0.3984,0.0
4,8,1,in,2.0,0,1,120.0,True,2.2012,0.3984,0.0
5,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
6,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
7,24,1,out,2.0,-1,0,0.0,True,0.326,0.3984,0.0
8,17,1,out,2.0,0,1,120.0,True,5.5683,0.3984,0.0
9,19,1,out,2.0,0,1,120.0,True,3.4701,0.3984,0.0
10,22,1,out,2.0,0,1,120.0,True,0.9635,0.3984,3.8299
11,23,1,out,2.0,0,1,120.0,True,0.4953,0.3984,0.0
12,23,-1,in,2.0,1,0,0.0,True,5.9985,0.3984,23.6992
13,24,-1,out,2.0,0,-1,-120.0,True,0.3223,0.3984,0.0
14,17,-1,out,2.0,1,0,0.0,True,3.1333,0.3984,0.0
15,24,1,out,2.0,-1,0,0.0,True,0.314,0.3984,0.0
16,21,-1,out,2.0,0,-1,-120.0,True,1.3609,0.3984,0.0
17,14,1,out,2.0,0,1,120.0,True,5.6018,0.3984,25.105
18,21,1,out,2.0,-1,0,0.0,True,1.4514,0.3984,0.0
