step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,4,-1,in,2.0,0,-1,-120.0,True,0.7586,0.3984,0.0
4,3,-1,in,2.0,0,-1,-120.0,True,0.3512,0.3984,0.0
5,19,-1,out,2.0,0,-1,-120.0,True,3.2658,0.3984,0.0
6,22,1,out,2.0,0,1,120.0,True,1.1156,0.3984,0.0
7,16,1,out,2.0,0,1,120.0,True,6.4895,0.3984,0.0
8,23,-1,out,2.0,0,-1,-120.0,True,0.7366,0.3984,0.0
9,24,1,out,2.0,0,1,120.0,True,0.3515,0.3984,0.0
10,20,-1,out,2.0,0,-1,-120.0,True,1.5597,0.3984,0.0
11,11,1,in,2.0,0,1,120.0,True,7.6969,0.3984,0.0
12,23,1,out,2.0,-1,0,0.0,True,0.6517,0.3984,0.0
13,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
14,23,-1,out,2.0,0,-1,-120.0,True,0.5414,0.3984,0.0
15,2,1,in,2.0,-1,0,0.0,True,0.3656,0.3984,0.0
16,7,1,in,2.0,0,1,120.0,True,1.6025,2.5358,0.0
17,2,-1,in,2.0,0,-1,-120.0,True,0.2966,0.3984,0.0
